,0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,run_1,FD001-->FD004,34.14751595,12518.81861,32.18070679,11565.64198,,,,,,,0.451800833,99.03701302,,,,,0.61,1557.087142,,,,,0.88,27208.83545,,,,,,,,,,,
26,run_2,FD001-->FD004,34.14751595,12518.81861,31.73788383,12078.46929,,,,FD004-->FD001,39.29979343,161724.2676,37.66,118598.5991,,FD004-->FD002,31.31064525,96527.0635,28.80213378,61105.2795,,FD004-->FD003,19.25913982,1861.005545,14.02,537.6374031,,,,,,,,,,,
27,run_3,FD001-->FD004,34.14751595,12518.81861,31.9347364,12858.43047,,,,FD004-->FD001,39.29979343,161724.2676,37.98573265,122266.508,,FD004-->FD002,31.31064525,96527.0635,29.2334536,62685.59282,,FD004-->FD003,19.25913982,1861.005545,14.35589314,540.7876821,,,,,,,,,,,
28,run_4,FD001-->FD004,34.14751595,12518.81861,32.00432373,12427.99234,,,,FD004-->FD001,39.29979343,161724.2676,37.91166019,122101.1765,,FD004-->FD002,31.31064525,96527.0635,28.49760686,62547.70641,,FD004-->FD003,19.25913982,1861.005545,14.26240177,638.4618401,,,,,,,,,,,
29,run_5,FD001-->FD004,34.14751595,12518.81861,32.42317787,14057.07462,,,,FD004-->FD001,39.29979343,161724.2676,38.09337616,125059.7264,,FD004-->FD002,31.31064525,96527.0635,28.38210546,60102.37284,,FD004-->FD003,19.25913982,1861.005545,14.05527191,530.3652441,,,,,,,,,,,
30,run_6,FD001-->FD004,34.14751595,12518.81861,31.57917511,11173.54009,,,,FD004-->FD001,39.29979343,161724.2676,37.79664364,120357.3616,,FD004-->FD002,31.31064525,96527.0635,28.9307755,64634.24862,,FD004-->FD003,19.25913982,1861.005545,13.9826129,439.2016175,,,,,,,,,,,
31,run_7,FD001-->FD004,34.14751595,12518.81861,31.64706688,12732.19088,,,,,,,37.89,121676.6743,,,,,28.77,62215.04004,,,,,14.14,537.2907574,,,,,,,,,,,
32,run_8,FD001-->FD004,34.14751595,12518.81861,31.58407791,11368.63986,,,,,,,0.17,2407.710541,,,,,0.34,1723.338918,,,,,0.16,70.5644718,,,,,,,,,,,
33,run_9,FD001-->FD004,34.14751595,12518.81861,31.66704674,12513.9289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,mean,0,34.15,12518.82,31.91,12197.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,std,0,0,0,0.31,864.98,,,,,,,,Average of 5 consecutive runs,,,,,,,,,Average of 5 consecutive runs,,,,,,,,,,,,,,
36,run_0,FD002-->FD001,15.47949939,657.2163912,14.04115677,442.2323091,,,,,,,,,,RMSE,STD,Score,STD,,,,,RMSE,Score,,,,,,,,,,,,
37,run_1,FD002-->FD001,15.47949939,657.2163912,14.29232378,475.2181215,,,,,,,26.93666667,24914.08609,FD001-->FD002,19.87,0.27,4426,398,,,,FD001-->FD002,19.87±0.27,4426±398,,,,,,,,,,,,
38,run_2,FD002-->FD001,15.47949939,657.2163912,14.11084447,433.7104309,,,,,,,,,FD001-->FD003,39.74,0.32,10711,508,,,,FD001-->FD003,39.74±0.32,10711±508,,,,,,,,,,,,
39,run_3,FD002-->FD001,15.47949939,657.2163912,14.32494245,476.383968,,,,,,,,,FD001-->FD004,31.78,0.36,12369,1165,,,,FD001-->FD004,31.78±0.36,12369±1165,,,,,,,,,,,,
40,run_4,FD002-->FD001,15.47949939,657.2163912,14.00093088,408.7334991,,,,,,,,,FD002-->FD001,14.33,0.14,455,18,,,,FD002-->FD001,14.33±0.14,455±18,,,,,,,,,,,,
41,run_5,FD002-->FD001,15.47949939,657.2163912,14.31360979,458.5682305,,,,,,,,,FD002-->FD003,32.60,0.39,3449,240,,,,FD002-->FD003,32.6±0.39,3449±240,,,,,,,,,,,,
42,run_6,FD002-->FD001,15.47949939,657.2163912,14.39446473,456.5766488,,,,,,,,,FD002-->FD004,34.35,0.67,12227,1347,,,,FD002-->FD004,34.35±0.67,12227±1347,,,,,,,,,,,,
43,run_7,FD002-->FD001,15.47949939,657.2163912,14.37480688,461.9768078,,,,,,,,,FD003-->FD001,19.97,0.45,1391,99,,,,FD003-->FD001,19.97±0.45,1391±99,,,,,,,,,,,,
44,run_8,FD002-->FD001,15.47949939,657.2163912,14.46485462,473.7743203,,,,,,,,,FD003-->FD002,23.47,0.61,20764,1557,,,,FD003-->FD002,23.47±0.61,20764±1557,,,,,,,,,,,,
45,run_9,FD002-->FD001,15.47949939,657.2163912,14.10999765,425.1849933,,,,,,,,,FD003-->FD004,26.33,0.88,48748,27209,,,,FD003-->FD004,26.33±0.88,48748±27209,,,,,,,,,,,,
46,mean,0,15.48,657.22,14.24,451.24,,,,,,,,,FD004-->FD001,37.89,0.17,121677,2408,,,,FD004-->FD001,37.89±0.17,121677±2408,,,,,,,,,,,,
47,std,0,0,0,0.15,21.88,,,,,,,,,FD004-->FD002,28.77,0.34,62215,1723,,,,FD004-->FD002,28.77±0.34,62215±1723,,,,,,,,,,,,
48,run_0,FD002-->FD003,33.98748589,3504.472793,32.16053581,3134.500986,,,,,,,,,FD004-->FD003,14.13,0.16,537,71,,,,FD004-->FD003,14.13±0.16,537±71,,,,,,,,,,,,
49,run_1,FD002-->FD003,33.98748589,3504.472793,33.75036736,4075.608558,,,,,,,,,,26.94,,24914,,,,,,,,,,,,,,,,,,,
50,run_2,FD002-->FD003,33.98748589,3504.472793,32.14731121,2981.916453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,run_3,FD002-->FD003,33.98748589,3504.472793,33.06652794,3731.220896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,run_4,FD002-->FD003,33.98748589,3504.472793,34.05038757,4191.763616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,run_5,FD002-->FD003,33.98748589,3504.472793,33.12271023,3848.933287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,run_6,FD002-->FD003,33.98748589,3504.472793,32.24065838,3246.074804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,run_7,FD002-->FD003,33.98748589,3504.472793,32.55975113,3425.241774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,run_8,FD002-->FD003,33.98748589,3504.472793,32.22020054,3280.308458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,run_9,FD002-->FD003,33.98748589,3504.472793,32.84618492,3445.473415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,mean,0,33.99,3504.47,32.82,3536.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,std,0,0,0,0.65,386.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,run_0,FD002-->FD004,36.08407425,12715.06422,34.74379486,12841.80311,,,,,,,,,,,0.27,0.32,0.36,,,,,,,,,,,,,,,,,,
61,run_1,FD002-->FD004,36.08407425,12715.06422,34.36665291,12001.44469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,run_2,FD002-->FD004,36.08407425,12715.06422,35.32995224,14006.22645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,run_3,FD002-->FD004,36.08407425,12715.06422,35.9127697,15641.42117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,run_4,FD002-->FD004,36.08407425,12715.06422,35.20585052,13866.87563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,run_5,FD002-->FD004,36.08407425,12715.06422,34.52622475,12790.19502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,run_6,FD002-->FD004,36.08407425,12715.06422,34.14107582,12007.74063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,run_7,FD002-->FD004,36.08407425,12715.06422,33.98250298,11147.16967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,run_8,FD002-->FD004,36.08407425,12715.06422,33.68831886,10942.44964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,run_9,FD002-->FD004,36.08407425,12715.06422,35.41367279,14246.59651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,mean,0,36.08,12715.06,34.73,12949.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,std,0,0,0,0.68,1413.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,run_0,FD003-->FD001,33.02677975,34538.46712,19.81508036,1343.374142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,run_1,FD003-->FD001,33.02677975,34538.46712,18.64440556,1110.108344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,run_2,FD003-->FD001,33.02677975,34538.46712,19.31096954,1245.97173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,run_3,FD003-->FD001,33.02677975,34538.46712,21.42811079,1757.926628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,run_4,FD003-->FD001,33.02677975,34538.46712,19.78795414,1343.248109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,run_5,FD003-->FD001,33.02677975,34538.46712,19.86993036,1331.509726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,run_6,FD003-->FD001,33.02677975,34538.46712,19.61166563,1323.000983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,run_7,FD003-->FD001,33.02677975,34538.46712,20.38371506,1485.935984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,run_8,FD003-->FD001,33.02677975,34538.46712,19.48160257,1302.137383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,run_9,FD003-->FD001,33.02677975,34538.46712,20.48810349,1510.004696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,mean,0,33.03,34538.47,19.88,1375.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,std,0,0,0,0.72,166.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,run_0,FD003-->FD002,33.00681254,270078.3787,23.7155765,17395.85089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,run_1,FD003-->FD002,33.00681254,270078.3787,23.60459599,18967.70631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,run_2,FD003-->FD002,33.00681254,270078.3787,23.20285141,20770.18681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,run_3,FD003-->FD002,33.00681254,270078.3787,23.42189,25542.26868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,run_4,FD003-->FD002,33.00681254,270078.3787,23.48293092,25490.89656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,run_5,FD003-->FD002,33.00681254,270078.3787,23.16642185,23285.94161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,run_6,FD003-->FD002,33.00681254,270078.3787,23.057773,19920.03735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,run_7,FD003-->FD002,33.00681254,270078.3787,23.23489567,21242.78837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,run_8,FD003-->FD002,33.00681254,270078.3787,23.35085289,19870.65738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,run_9,FD003-->FD002,33.00681254,270078.3787,24.55249034,19499.75327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,mean,0,33.01,270078.38,23.48,21198.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,std,0,0,0,0.41,2599.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,run_0,FD003-->FD004,27.106182,113835.0558,25.74824322,39548.6389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,run_1,FD003-->FD004,27.106182,113835.0558,25.82387665,60845.6066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
