,0,1,2,3,4,5,,,,,
65,run_5,FD002-->FD004,36.08407425,12715.06422,33.06232513,12670.50032,,,,,
66,run_6,FD002-->FD004,36.08407425,12715.06422,33.8340361,14644.78635,,,,,
67,run_7,FD002-->FD004,36.08407425,12715.06422,33.04979958,11660.7692,,,,,
68,run_8,FD002-->FD004,36.08407425,12715.06422,34.46587852,15617.29108,,,,,
69,run_9,FD002-->FD004,36.08407425,12715.06422,33.31839813,13381.88777,,,,,
70,mean,0,0,0,33.54,13319.31,,,,,
71,std,0,0,0,0.76,1940.63,,,,,
72,run_0,FD003-->FD001,33.02677975,34538.46712,18.80521193,1153.670873,,,,,
73,run_1,FD003-->FD001,33.02677975,34538.46712,18.76723528,1135.482587,,,,,
74,run_2,FD003-->FD001,33.02677975,34538.46712,20.31538143,1394.889774,,,,,
75,run_3,FD003-->FD001,33.02677975,34538.46712,19.66827908,1322.951633,,,,,
76,run_4,FD003-->FD001,33.02677975,34538.46712,18.52166538,1094.650151,,,,,
77,run_5,FD003-->FD001,33.02677975,34538.46712,19.10092964,1201.483362,,,,,
78,run_6,FD003-->FD001,33.02677975,34538.46712,19.13457432,1226.456822,,,,,
79,run_7,FD003-->FD001,33.02677975,34538.46712,21.49807587,1824.284774,,,,,
80,run_8,FD003-->FD001,33.02677975,34538.46712,21.20102177,1713.421808,,,,,
81,run_9,FD003-->FD001,33.02677975,34538.46712,20.50067329,1527.906606,,,,,
82,mean,0,0,0,19.75,1359.52,,,,,
83,std,0,0,0,1.01,240.33,,,,,
84,run_0,FD003-->FD002,33.00681254,270078.3787,23.5184368,21937.1345,,,,,
85,run_1,FD003-->FD002,33.00681254,270078.3787,23.83629249,17385.24488,,,,,
86,run_2,FD003-->FD002,33.00681254,270078.3787,23.63595841,17995.93794,,,,,
87,run_3,FD003-->FD002,33.00681254,270078.3787,25.63228193,13302.61699,,,,,
88,run_4,FD003-->FD002,33.00681254,270078.3787,23.6345355,18401.35594,,,,,
89,run_5,FD003-->FD002,33.00681254,270078.3787,24.09372928,17552.55098,,,,,
90,run_6,FD003-->FD002,33.00681254,270078.3787,23.9691402,16249.42394,,,,,
91,run_7,FD003-->FD002,33.00681254,270078.3787,23.34411155,21114.36109,,,,,
92,run_8,FD003-->FD002,33.00681254,270078.3787,24.45826982,16065.64817,,,,,
93,run_9,FD003-->FD002,33.00681254,270078.3787,26.62937718,75294.7886,,,,,
94,mean,0,0,0,24.28,23529.91,,,,,
95,std,0,0,0,1,17411.79,,,,,
96,run_0,FD003-->FD004,27.106182,113835.0558,26.7049897,29727.01149,,,,,
97,run_1,FD003-->FD004,27.106182,113835.0558,26.34728451,21912.10757,,,,,
98,run_2,FD003-->FD004,27.106182,113835.0558,26.3256842,81253.12202,,,,,
99,run_3,FD003-->FD004,27.106182,113835.0558,26.40266491,49044.06129,,,,,
100,run_4,FD003-->FD004,27.106182,113835.0558,26.03756187,59520.86684,,,,,
101,run_5,FD003-->FD004,27.106182,113835.0558,26.18329384,66595.72415,,,,,
102,run_6,FD003-->FD004,27.106182,113835.0558,26.31669453,58677.95127,,,,,
103,run_7,FD003-->FD004,27.106182,113835.0558,26.82441444,36112.7578,,,,,
104,run_8,FD003-->FD004,27.106182,113835.0558,26.3466452,82843.89379,,,,,
105,run_9,FD003-->FD004,27.106182,113835.0558,26.15434204,47904.37473,,,,,
106,mean,0,0,0,26.36,53359.19,,,,,
107,std,0,0,0,0.23,19447.61,,,,,
