,0,1,2,3,4,5
0,run_0,FD001-->FD002,20.76631395633404,5065.674680075722,19.923457292410042,4299.476416430092
1,run_1,FD001-->FD002,20.76631395633404,5065.674680075722,19.51165478046124,4629.518770897684
2,run_2,FD001-->FD002,20.76631395633404,5065.674680075722,20.113118208371677,5220.400557954628
3,run_3,FD001-->FD002,20.76631395633404,5065.674680075722,20.554720805241512,5294.668487063725
4,run_4,FD001-->FD002,20.76631395633404,5065.674680075722,20.021143913269043,4164.0476826322
5,run_5,FD001-->FD002,20.76631395633404,5065.674680075722,20.134939047006462,4133.683246726617
6,run_6,FD001-->FD002,20.76631395633404,5065.674680075722,19.630164036383995,4537.1478908671015
7,run_7,FD001-->FD002,20.76631395633404,5065.674680075722,20.112938844240627,4283.827994162377
8,run_8,FD001-->FD002,20.76631395633404,5065.674680075722,19.93122904117291,4106.1749596112695
9,run_9,FD001-->FD002,20.76631395633404,5065.674680075722,19.556391826042763,5069.2652613410455
10,mean,0, 20.77,5065.67, 19.95,4573.82
11,std,0,0,0,0.30,439.01
12,run_0,FD001-->FD003,48.52335205078125,23762.097804887904,39.72486534118652,10619.13297623072
13,run_1,FD001-->FD003,48.52335205078125,23762.097804887904,39.604506492614746,10550.030797782672
14,run_2,FD001-->FD003,48.52335205078125,23762.097804887904,39.43895301818848,10383.40123234949
15,run_3,FD001-->FD003,48.52335205078125,23762.097804887904,39.40463752746582,10494.023192604198
16,run_4,FD001-->FD003,48.52335205078125,23762.097804887904,39.5213264465332,10441.13390411984
17,run_5,FD001-->FD003,48.52335205078125,23762.097804887904,39.50320205688477,10320.125798288764
18,run_6,FD001-->FD003,48.52335205078125,23762.097804887904,40.25779209136963,11459.77001974159
19,run_7,FD001-->FD003,48.52335205078125,23762.097804887904,39.685251808166505,10434.016087665552
20,run_8,FD001-->FD003,48.52335205078125,23762.097804887904,39.823459243774415,11017.049014454218
21,run_9,FD001-->FD003,48.52335205078125,23762.097804887904,39.45411682128906,10326.321559173208
22,mean,0, 48.52,23762.10, 39.64,10604.50
23,std,0,0,0,0.24,343.51
24,run_0,FD001-->FD004,34.14751594543457,12518.818609145696,32.39081619262695,11198.004581353745
25,run_1,FD001-->FD004,34.14751594543457,12518.818609145696,32.18070678710937,11565.641984788726
26,run_2,FD001-->FD004,34.14751594543457,12518.818609145696,31.73788383483887,12078.469288248418
27,run_3,FD001-->FD004,34.14751594543457,12518.818609145696,31.934736404418945,12858.430474990322
28,run_4,FD001-->FD004,34.14751594543457,12518.818609145696,32.00432373046875,12427.992340912864
29,run_5,FD001-->FD004,34.14751594543457,12518.818609145696,32.4231778717041,14057.074622893502
30,run_6,FD001-->FD004,34.14751594543457,12518.818609145696,31.579175109863282,11173.540094984022
31,run_7,FD001-->FD004,34.14751594543457,12518.818609145696,31.64706687927246,12732.190877317014
32,run_8,FD001-->FD004,34.14751594543457,12518.818609145696,31.58407791137695,11368.639859710449
33,run_9,FD001-->FD004,34.14751594543457,12518.818609145696,31.667046737670898,12513.928896682266
34,mean,0, 34.15,12518.82, 31.91,12197.39
35,std,0,0,0,0.31,864.98
36,run_0,FD002-->FD001,15.47949938774109,657.2163912411256,14.041156768798828,442.2323090911478
37,run_1,FD002-->FD001,15.47949938774109,657.2163912411256,14.292323780059814,475.2181215190042
38,run_2,FD002-->FD001,15.47949938774109,657.2163912411256,14.110844469070434,433.71043085945746
39,run_3,FD002-->FD001,15.47949938774109,657.2163912411256,14.324942445755005,476.3839680047729
40,run_4,FD002-->FD001,15.47949938774109,657.2163912411256,14.000930881500244,408.73349906504
41,run_5,FD002-->FD001,15.47949938774109,657.2163912411256,14.313609790802001,458.56823045853764
42,run_6,FD002-->FD001,15.47949938774109,657.2163912411256,14.39446473121643,456.5766488241794
43,run_7,FD002-->FD001,15.47949938774109,657.2163912411256,14.374806880950928,461.97680776124946
44,run_8,FD002-->FD001,15.47949938774109,657.2163912411256,14.464854621887207,473.7743203164725
45,run_9,FD002-->FD001,15.47949938774109,657.2163912411256,14.109997653961182,425.1849933098057
46,mean,0, 15.48,657.22, 14.24,451.24
47,std,0,0,0,0.15,21.88
48,run_0,FD002-->FD003,33.98748588562012,3504.47279349953,32.16053581237793,3134.500986467916
49,run_1,FD002-->FD003,33.98748588562012,3504.47279349953,33.75036735534668,4075.6085577617437
50,run_2,FD002-->FD003,33.98748588562012,3504.47279349953,32.147311210632324,2981.9164525381198
51,run_3,FD002-->FD003,33.98748588562012,3504.47279349953,33.066527938842775,3731.2208956484733
52,run_4,FD002-->FD003,33.98748588562012,3504.47279349953,34.05038757324219,4191.763615587818
53,run_5,FD002-->FD003,33.98748588562012,3504.47279349953,33.12271022796631,3848.9332865829347
54,run_6,FD002-->FD003,33.98748588562012,3504.47279349953,32.240658378601076,3246.0748041558563
55,run_7,FD002-->FD003,33.98748588562012,3504.47279349953,32.55975112915039,3425.241774292119
56,run_8,FD002-->FD003,33.98748588562012,3504.47279349953,32.220200538635254,3280.3084582361926
57,run_9,FD002-->FD003,33.98748588562012,3504.47279349953,32.84618492126465,3445.4734153211884
58,mean,0, 33.99,3504.47, 32.82,3536.10
59,std,0,0,0,0.65,386.70
60,run_0,FD002-->FD004,36.08407424926758,12715.064221750425,34.74379486083984,12841.803108208787
61,run_1,FD002-->FD004,36.08407424926758,12715.064221750425,34.36665290832519,12001.444686596757
62,run_2,FD002-->FD004,36.08407424926758,12715.064221750425,35.329952239990234,14006.226445548658
63,run_3,FD002-->FD004,36.08407424926758,12715.064221750425,35.91276969909668,15641.42117414808
