,0,1,2,3,4,5,,,,,,,,,,,,,,,,
70,FD004-->FD002,28.86,0,63768.02,0,,,,,,Same EPochs Epochs for each domain 20 epoch FD003,,,,,,,Same EPochs Epochs for each domain (30),,,,
71,FD004-->FD003,14.03,0,402.17,0,,,,,,FD001-->FD002,19.6,0,4394.37,0,,,FD001-->FD002,19.6,0,4394.37,0
,,30.16416667,,76147.19667,,,,,,,FD001-->FD003,38,0,8921.13,0,,,FD001-->FD003,38,0,8921.13,0
,,,,,,,,,,,FD001-->FD004,32.18,0,17646.13,0,,,FD001-->FD004,32.18,0,17646.13,0
,,,,,,,,,,,FD002-->FD001,14.06,0,369.99,0,,,FD002-->FD001,14.06,0,369.99,0
,,,,,,,,,,,FD002-->FD003,32.08,0,3750.64,0,,,FD002-->FD003,32.08,0,3750.64,0
,,,,,,,,,,,FD002-->FD004,35.61,0,18529.04,0,,,FD002-->FD004,35.61,0,18529.04,0
,,,,,,,,,,,FD003-->FD001,28.01,0,1926.65,0,,,FD003-->FD001,20.63,0,1523.84,0
,,,,,,,,,,,FD003-->FD002,35.88,0,74786.5,0,,,FD003-->FD002,38.88,0,67845.7,0
,,,,,,,,,,,FD003-->FD004,30.99,0,112365.94,0,,,FD003-->FD004,30.6,0,128063.94,0
,,,,,,,,,,,FD004-->FD001,37.86,0,120306.59,0,,,FD004-->FD001,37.86,0,120306.59,0
,,,,,,,,,,,FD004-->FD002,28.86,0,63768.02,0,,,FD004-->FD002,28.86,0,63768.02,0
,,,,,,,,,,,FD004-->FD003,14.03,0,402.17,0,,,FD004-->FD003,14.03,0,402.17,0
,,,,,,,,,,,,,,38796.81818,,,,,28.5325,,36293.46333,
,,,,,,,,,,,,28.93,,,,,,,,,,
