,0,1,2,3,4,5
77,run_5,FD003-->FD001,36.15901203,82689.09129,36.75706673,83374.67028
78,run_6,FD003-->FD001,36.15901203,82689.09129,36.99098759,71922.2857
79,run_7,FD003-->FD001,36.15901203,82689.09129,35.58128357,35913.23242
80,run_8,FD003-->FD001,36.15901203,82689.09129,36.63213902,74716.76034
81,run_9,FD003-->FD001,36.15901203,82689.09129,38.4138031,76459.0077
82,mean,0,0,0,37.01,65508.48
83,std,0,0,0,1.02,14089.08
84,run_0,FD003-->FD002,33.99476565,117078.3636,35.12115559,73163.07719
85,run_1,FD003-->FD002,33.99476565,117078.3636,35.67054162,67279.98781
86,run_2,FD003-->FD002,33.99476565,117078.3636,35.32874078,64252.80007
87,run_3,FD003-->FD002,33.99476565,117078.3636,33.31820202,55888.6395
88,run_4,FD003-->FD002,33.99476565,117078.3636,33.54986037,61138.95942
89,run_5,FD003-->FD002,33.99476565,117078.3636,34.0048195,63910.64104
90,run_6,FD003-->FD002,33.99476565,117078.3636,33.40932564,68466.28006
91,run_7,FD003-->FD002,33.99476565,117078.3636,32.78142603,60249.39024
92,run_8,FD003-->FD002,33.99476565,117078.3636,33.1222339,66750.38187
93,run_9,FD003-->FD002,33.99476565,117078.3636,34.47726345,54515.32769
94,mean,0,0,0,34.08,63561.55
95,std,0,0,0,0.96,5462.49
96,run_0,FD003-->FD004,21.0130035,2636.578581,22.32040112,2849.552732
97,run_1,FD003-->FD004,21.0130035,2636.578581,19.36981152,2167.829638
98,run_2,FD003-->FD004,21.0130035,2636.578581,19.76642288,2276.850002
99,run_3,FD003-->FD004,21.0130035,2636.578581,22.27831669,2920.373147
100,run_4,FD003-->FD004,21.0130035,2636.578581,20.90313416,2927.014888
101,run_5,FD003-->FD004,21.0130035,2636.578581,20.18574883,2353.762888
102,run_6,FD003-->FD004,21.0130035,2636.578581,21.60539337,2602.896253
103,run_7,FD003-->FD004,21.0130035,2636.578581,19.89265751,2099.333552
104,run_8,FD003-->FD004,21.0130035,2636.578581,21.37168839,2427.625571
105,run_9,FD003-->FD004,21.0130035,2636.578581,19.9379282,2126.250016
106,mean,0,0,0,20.76,2475.15
107,std,0,0,0,1.03,311.87
108,run_0,FD004-->FD001,37.59009876,125710.7619,36.50735092,93199.50647
109,run_1,FD004-->FD001,37.59009876,125710.7619,36.73331356,100022.0634
110,run_2,FD004-->FD001,37.59009876,125710.7619,36.44400215,94457.02132
111,run_3,FD004-->FD001,37.59009876,125710.7619,36.20851803,92046.92686
112,run_4,FD004-->FD001,37.59009876,125710.7619,36.92948399,102521.1346
113,run_5,FD004-->FD001,37.59009876,125710.7619,36.75936985,99641.62321
114,run_6,FD004-->FD001,37.59009876,125710.7619,36.38276215,96529.87378
115,run_7,FD004-->FD001,37.59009876,125710.7619,36.10660877,99167.93712
116,run_8,FD004-->FD001,37.59009876,125710.7619,36.4331625,95421.05536
117,run_9,FD004-->FD001,37.59009876,125710.7619,36.40953884,94741.92115
118,mean,0,0,0,36.49,96774.91
119,std,0,0,0,0.24,3225.58
120,run_0,FD004-->FD002,31.31733696,72943.06204,30.48905483,44664.29575
121,run_1,FD004-->FD002,31.31733696,72943.06204,30.57708131,45998.54292
122,run_2,FD004-->FD002,31.31733696,72943.06204,30.39500772,42072.87384
123,run_3,FD004-->FD002,31.31733696,72943.06204,29.57076601,46285.91527
124,run_4,FD004-->FD002,31.31733696,72943.06204,30.89860256,43083.93183
125,run_5,FD004-->FD002,31.31733696,72943.06204,30.35373864,45006.22059
126,run_6,FD004-->FD002,31.31733696,72943.06204,28.90969093,43828.85238
127,run_7,FD004-->FD002,31.31733696,72943.06204,29.62772927,41469.41513
128,run_8,FD004-->FD002,31.31733696,72943.06204,29.4027999,42402.13131
129,run_9,FD004-->FD002,31.31733696,72943.06204,29.40385012,45695.69957
130,mean,0,0,0,29.96,44050.79
131,std,0,0,0,0.62,1645.06
132,run_0,FD004-->FD003,16.45483894,1217.900428,15.93209581,1039.974461
133,run_1,FD004-->FD003,16.45483894,1217.900428,16.46285515,1084.092558
134,run_2,FD004-->FD003,16.45483894,1217.900428,17.2281971,1141.519634
135,run_3,FD004-->FD003,16.45483894,1217.900428,15.44508424,1062.239697
136,run_4,FD004-->FD003,16.45483894,1217.900428,15.89538317,978.1905156
137,run_5,FD004-->FD003,16.45483894,1217.900428,15.32277565,1024.458696
138,run_6,FD004-->FD003,16.45483894,1217.900428,15.50692768,1010.160489
139,run_7,FD004-->FD003,16.45483894,1217.900428,15.26488237,1021.067396
140,run_8,FD004-->FD003,16.45483894,1217.900428,15.50956278,1016.048543
141,run_9,FD004-->FD003,16.45483894,1217.900428,15.96760426,1053.434944
142,mean,0,0,0,15.85,1043.12
143,std,0,0,0,0.58,43.26
144,FD001-->FD002,mean,21.18+\-0.81,,,
145,FD001-->FD002,std,4292.35+\-894.29,,,
146,FD001-->FD003,mean,46.48+\-0.44,,,
147,FD001-->FD003,std,257770.53+\-61298.67,,,
148,FD001-->FD004,mean,35.30+\-1.47,,,
149,FD001-->FD004,std,78727.49+\-55730.38,,,
150,FD002-->FD001,mean,14.62+\-0.45,,,
151,FD002-->FD001,std,360.87+\-36.05,,,
152,FD002-->FD003,mean,33.97+\-0.24,,,
153,FD002-->FD003,std,5738.49+\-388.71,,,
154,FD002-->FD004,mean,31.86+\-0.94,,,
155,FD002-->FD004,std,11716.56+\-1450.99,,,
156,FD003-->FD001,mean,37.01+\-1.02,,,
157,FD003-->FD001,std,65508.48+\-14089.08,,,
158,FD003-->FD002,mean,34.08+\-0.96,,,
159,FD003-->FD002,std,63561.55+\-5462.49,,,
160,FD003-->FD004,mean,20.76+\-1.03,,,
161,FD003-->FD004,std,2475.15+\-311.87,,,
162,FD004-->FD001,mean,36.49+\-0.24,,,
163,FD004-->FD001,std,96774.91+\-3225.58,,,
164,FD004-->FD002,mean,29.96+\-0.62,,,
165,FD004-->FD002,std,44050.79+\-1645.06,,,
166,FD004-->FD003,mean,15.85+\-0.58,,,
167,FD004-->FD003,std,1043.12+\-43.26,,,
168,FD001-->FD002,21.18,0.81,4292.35,894.29,
169,FD001-->FD003,46.48,0.44,257770.53,61298.67,
170,FD001-->FD004,35.3,1.47,78727.49,55730.38,
171,FD002-->FD001,14.62,0.45,360.87,36.05,
172,FD002-->FD003,33.97,0.24,5738.49,388.71,
173,FD002-->FD004,31.86,0.94,11716.56,1450.99,
174,FD003-->FD001,37.01,1.02,65508.48,14089.08,
175,FD003-->FD002,34.08,0.96,63561.55,5462.49,
176,FD003-->FD004,20.76,1.03,2475.15,311.87,
177,FD004-->FD001,36.49,0.24,96774.91,3225.58,
178,FD004-->FD002,29.96,0.62,44050.79,1645.06,
179,FD004-->FD003,15.85,0.58,1043.12,43.26,
,,29.79666667,,52668.3575,,
